,Unnamed: 0,Unnamed: 0.1,imdb_title_id,original_title,year,genre,director,actors,avg_vote,cast_size,comb
2471,4047,4520,tt0457655,efter brylluppet,2006,Drama,Susanne Bier,Mads Mikkelsen Neeral Mulchandani Tanya Sharma Swini Khara Meenal Patel Vallabh Gada Hitesh Kotak Suhita Thatte Rolf Lassgård Dispesh Mistry Shivam Vichare Frederik Gullits Ernst Kristian Gullits Ernst Sidse Babett Knudsen Mona Malm,7.7,15,Susanne Bier Mads Mikkelsen Neeral Mulchandani Tanya Sharma Swini Khara Meenal Patel Vallabh Gada Hitesh Kotak Suhita Thatte Rolf Lassgård Dispesh Mistry Shivam Vichare Frederik Gullits Ernst Kristian Gullits Ernst Sidse Babett Knudsen Mona Malm Drama
2472,4049,4522,tt0457939,the holiday,2006,"Comedy, Romance",Nancy Meyers,Cameron Diaz Kate Winslet Jude Law Jack Black Eli Wallach Edward Burns Rufus Sewell Miffy Englefield Emma Pritchard Sarah Parish Shannyn Sossamon Bill Macy Shelley Berman Kathryn Hahn John Krasinski,6.9,15,"Nancy Meyers Cameron Diaz Kate Winslet Jude Law Jack Black Eli Wallach Edward Burns Rufus Sewell Miffy Englefield Emma Pritchard Sarah Parish Shannyn Sossamon Bill Macy Shelley Berman Kathryn Hahn John Krasinski Comedy, Romance"
2473,4050,4523,tt0458339,captain america: the first avenger,2011,"Action, Adventure, Sci-Fi",Joe Johnston,Chris Evans Hayley Atwell Sebastian Stan Tommy Lee Jones Hugo Weaving Dominic Cooper Richard Armitage Stanley Tucci Samuel L. Jackson Toby Jones Neal McDonough Derek Luke Kenneth Choi JJ Feild Bruno Ricci,6.9,15,"Joe Johnston Chris Evans Hayley Atwell Sebastian Stan Tommy Lee Jones Hugo Weaving Dominic Cooper Richard Armitage Stanley Tucci Samuel L. Jackson Toby Jones Neal McDonough Derek Luke Kenneth Choi JJ Feild Bruno Ricci Action, Adventure, Sci-Fi"
2474,4051,4524,tt0458352,the devil wears prada,2006,"Comedy, Drama",David Frankel,Meryl Streep Anne Hathaway Emily Blunt Stanley Tucci Simon Baker Adrian Grenier Tracie Thoms Rich Sommer Daniel Sunjata David Marshall Grant James Naughton Tibor Feldman Rebecca Mader Jimena Hoyos Gisele Bündchen,6.9,15,"David Frankel Meryl Streep Anne Hathaway Emily Blunt Stanley Tucci Simon Baker Adrian Grenier Tracie Thoms Rich Sommer Daniel Sunjata David Marshall Grant James Naughton Tibor Feldman Rebecca Mader Jimena Hoyos Gisele Bündchen Comedy, Drama"
2476,4053,4526,tt0458367,right at your door,2006,"Drama, Sci-Fi, Thriller",Chris Gorak,Mary McCormack Rory Cochrane Tony Perez Scotty Noyd Jr. Jon Huertas Max Kasch David Richards Nina Barry Ed Martin Jenny O'Hara Will McCormack Hector Luis Bustamante Soledad St. Hilaire Alejandra Flores Nigel Gibbs,6.1,15,"Chris Gorak Mary McCormack Rory Cochrane Tony Perez Scotty Noyd Jr. Jon Huertas Max Kasch David Richards Nina Barry Ed Martin Jenny O'Hara Will McCormack Hector Luis Bustamante Soledad St. Hilaire Alejandra Flores Nigel Gibbs Drama, Sci-Fi, Thriller"
2477,4054,4527,tt0458413,a long way down,2014,"Comedy, Drama",Pascal Chaumeil,Pierce Brosnan Toni Collette Imogen Poots Aaron Paul Zara White Joe Cole Evelyn Duah Therese Bradley Sam Neill Priyanga Burford Josef Altin Diana Kent Rosamund Pike Shola Adewusi Ilan Goodman,6.4,15,"Pascal Chaumeil Pierce Brosnan Toni Collette Imogen Poots Aaron Paul Zara White Joe Cole Evelyn Duah Therese Bradley Sam Neill Priyanga Burford Josef Altin Diana Kent Rosamund Pike Shola Adewusi Ilan Goodman Comedy, Drama"
2478,4056,4529,tt0458455,die päpstin,2009,"Drama, History, Romance",Sönke Wortmann,Johanna Wokalek David Wenham John Goodman Iain Glen Edward Petherbridge Anatole Taubman Lotte Flack Tigerlily Hutchinson Jördis Triebel Oliver Cotton Nicholas Woodeson Suzanne Bertish Richard van Weyden Branko Tomovic Lenn Kudrjawizki,6.7,15,"Sönke Wortmann Johanna Wokalek David Wenham John Goodman Iain Glen Edward Petherbridge Anatole Taubman Lotte Flack Tigerlily Hutchinson Jördis Triebel Oliver Cotton Nicholas Woodeson Suzanne Bertish Richard van Weyden Branko Tomovic Lenn Kudrjawizki Drama, History, Romance"
2479,4058,4531,tt0458481,sin city: a dame to kill for,2014,"Action, Crime, Thriller","Frank Miller, Robert Rodriguez",Mickey Rourke Jessica Alba Josh Brolin Joseph Gordon-Levitt Rosario Dawson Bruce Willis Eva Green Powers Boothe Dennis Haysbert Ray Liotta Christopher Meloni Jeremy Piven Christopher Lloyd Jaime King Juno Temple,6.5,15,"Frank Miller, Robert Rodriguez Mickey Rourke Jessica Alba Josh Brolin Joseph Gordon-Levitt Rosario Dawson Bruce Willis Eva Green Powers Boothe Dennis Haysbert Ray Liotta Christopher Meloni Jeremy Piven Christopher Lloyd Jaime King Juno Temple Action, Crime, Thriller"
2481,4063,4536,tt0458525,x-men origins: wolverine,2009,"Action, Adventure, Sci-Fi",Gavin Hood,Hugh Jackman Liev Schreiber Danny Huston Will.i.am Lynn Collins Kevin Durand Dominic Monaghan Taylor Kitsch Daniel Henney Ryan Reynolds Tim Pocock Julia Blake Max Cullen Troye Sivan Michael-James Olsen,6.6,15,"Gavin Hood Hugh Jackman Liev Schreiber Danny Huston Will.i.am Lynn Collins Kevin Durand Dominic Monaghan Taylor Kitsch Daniel Henney Ryan Reynolds Tim Pocock Julia Blake Max Cullen Troye Sivan Michael-James Olsen Action, Adventure, Sci-Fi"
2483,4066,4539,tt0459468,morirse está en hebreo,2007,Comedy,Alejandro Springall,Blanca Guerra Martha Roth Sergio Kleiner Guillermo Murray Martin LaSalle Raquel Pankowsky David Ostrosky Emilio Savinni Sharon Zundel Gustavo Sánchez Parra Margot Wagner Lenny Zundel Jacqueline Voltaire Ricardo Kleinbaum Max Kerlow,6.7,15,Alejandro Springall Blanca Guerra Martha Roth Sergio Kleiner Guillermo Murray Martin LaSalle Raquel Pankowsky David Ostrosky Emilio Savinni Sharon Zundel Gustavo Sánchez Parra Margot Wagner Lenny Zundel Jacqueline Voltaire Ricardo Kleinbaum Max Kerlow Comedy
2484,4067,4540,tt0459748,generation p,2011,"Comedy, Drama, Sci-Fi",Victor Ginzburg,Vladimir Epifantsev Mikhail Efremov Andrey Fomin Sergey Shnurov Vladimir Menshov Oleg Taktarov Ivan Okhlobystin Andrey Panin Leonid Parfyonov Aleksandr Gordon Amaliya Mordvinova Andrey Vasilev Yuriy Safarov Igor Grigoriev Yuliya Bordovskikh,6.8,15,"Victor Ginzburg Vladimir Epifantsev Mikhail Efremov Andrey Fomin Sergey Shnurov Vladimir Menshov Oleg Taktarov Ivan Okhlobystin Andrey Panin Leonid Parfyonov Aleksandr Gordon Amaliya Mordvinova Andrey Vasilev Yuriy Safarov Igor Grigoriev Yuliya Bordovskikh Comedy, Drama, Sci-Fi"
2485,4070,4543,tt0460611,the work and the glory iii: a house divided,2006,"Drama, Western",Sterling Van Wagenen,Sam Hennings Brenda Strong Eric Johnson Alexander Carroll Brighton Hertford Julia Cunningham Cody Sanders Sarah Bastian Emily Podleski Jonathan Scarfe Melanie Hawkins Frank Ashmore Curtis Andersen Jeff Ham Giulia Pagano,6.6,15,"Sterling Van Wagenen Sam Hennings Brenda Strong Eric Johnson Alexander Carroll Brighton Hertford Julia Cunningham Cody Sanders Sarah Bastian Emily Podleski Jonathan Scarfe Melanie Hawkins Frank Ashmore Curtis Andersen Jeff Ham Giulia Pagano Drama, Western"
2486,4072,4545,tt0460721,the big bad swim,2006,"Comedy, Romance, Sport",Ishai Setton,Paget Brewster Jeff Branson Jess Weixler Raviv Ullman Avi Setton Todd Susman Kevin Porter Young Darla Hill Terria Joseph Liza Lapira Crystal Bock Emma Adele Galvin Judy Cole Ostaro Michael Mosley,6.3,15,"Ishai Setton Paget Brewster Jeff Branson Jess Weixler Raviv Ullman Avi Setton Todd Susman Kevin Porter Young Darla Hill Terria Joseph Liza Lapira Crystal Bock Emma Adele Galvin Judy Cole Ostaro Michael Mosley Comedy, Romance, Sport"
2488,4074,4547,tt0460740,cashback,2006,"Comedy, Drama, Romance",Sean Ellis,Michelle Ryan Sean Biggerstaff Erica Ellis Jay Bowen Shaun Evans Kenneth Fahy Stan Ellis Katie Ball Emilia Fox Stuart Goodwin Celesta Hodge Nia Roberts Michael Dixon Michael Lambourne Hatti Riemer,7.2,15,"Sean Ellis Michelle Ryan Sean Biggerstaff Erica Ellis Jay Bowen Shaun Evans Kenneth Fahy Stan Ellis Katie Ball Emilia Fox Stuart Goodwin Celesta Hodge Nia Roberts Michael Dixon Michael Lambourne Hatti Riemer Comedy, Drama, Romance"
2489,4075,4548,tt0460745,chaos theory,2008,"Comedy, Drama, Romance",Marcos Siega,Ryan Reynolds Emily Mortimer Stuart Townsend Sarah Chalke Mike Erwin Constance Zimmer Matreya Fedor Elisabeth Harnois Chris William Martin Jovanna Burke Christopher Jacot Alessandro Juliani Lisa Calder Ty Olsson Jocelyne Loewen,6.7,15,"Marcos Siega Ryan Reynolds Emily Mortimer Stuart Townsend Sarah Chalke Mike Erwin Constance Zimmer Matreya Fedor Elisabeth Harnois Chris William Martin Jovanna Burke Christopher Jacot Alessandro Juliani Lisa Calder Ty Olsson Jocelyne Loewen Comedy, Drama, Romance"
2490,4080,4553,tt0460789,the eyes of van gogh,2005,"Biography, Drama",Alexander Barnett,Diana Agostini John Alexander Alexander Barnett Dean Curtis John FitzGibbon Lee Godart Clarke Griffith Celia Howard Thomas D. Kaufman John Lederer Matthew Marchetti Edwin McDonough Keith Perry Roy Thinnes Ray Wasik,6.2,15,"Alexander Barnett Diana Agostini John Alexander Alexander Barnett Dean Curtis John FitzGibbon Lee Godart Clarke Griffith Celia Howard Thomas D. Kaufman John Lederer Matthew Marchetti Edwin McDonough Keith Perry Roy Thinnes Ray Wasik Biography, Drama"
2491,4081,4554,tt0460791,the fall,2006,"Adventure, Drama, Fantasy",Tarsem Singh,Catinca Untaru Justine Waddell Lee Pace Kim Uylenbroek Aiden Lithgow Sean Gilder Ronald France Andrew Roussouw Michael Huff Grant Swanby Emil Hostina Robin Smith Jeetu Verma Leo Bill Marcus Wesley,7.9,15,"Tarsem Singh Catinca Untaru Justine Waddell Lee Pace Kim Uylenbroek Aiden Lithgow Sean Gilder Ronald France Andrew Roussouw Michael Huff Grant Swanby Emil Hostina Robin Smith Jeetu Verma Leo Bill Marcus Wesley Adventure, Drama, Fantasy"
2492,4082,4555,tt0460792,fast food nation,2006,"Comedy, Drama",Richard Linklater,Wilmer Valderrama Catalina Sandino Moreno Ana Claudia Talancón Juan Carlos Serrán Armando Hernández Greg Kinnear Frank Ertl Michael D. Conway Mitch Baker Ellar Coltrane Dakota Edwards Dana Wheeler-Nicholson Luis Guzmán Bobby Cannavale Francisco Rosales,6.3,15,"Richard Linklater Wilmer Valderrama Catalina Sandino Moreno Ana Claudia Talancón Juan Carlos Serrán Armando Hernández Greg Kinnear Frank Ertl Michael D. Conway Mitch Baker Ellar Coltrane Dakota Edwards Dana Wheeler-Nicholson Luis Guzmán Bobby Cannavale Francisco Rosales Comedy, Drama"
2493,4085,4559,tt0460810,the great buck howard,2008,"Adventure, Comedy, Drama",Sean McGinly,John Malkovich Colin Hanks Emily Blunt Ricky Jay Steve Zahn Tom Hanks Griffin Dunne Debra Monk Adam Scott Patrick Fischler Wallace Langham Jonathan Ames Jacquie Barnbrook Paul Darricarrere Terry Scannell,6.4,15,"Sean McGinly John Malkovich Colin Hanks Emily Blunt Ricky Jay Steve Zahn Tom Hanks Griffin Dunne Debra Monk Adam Scott Patrick Fischler Wallace Langham Jonathan Ames Jacquie Barnbrook Paul Darricarrere Terry Scannell Adventure, Comedy, Drama"
2494,4086,4561,tt0460829,inland empire,2006,"Drama, Fantasy, Mystery",David Lynch,Karolina Gruszka Krzysztof Majchrzak Grace Zabriskie Laura Dern Jan Hencz Ian Abercrombie Karen Baird Bellina Logan Peter J. Lucas Amanda Foreman Jeremy Irons Justin Theroux Harry Dean Stanton Cameron Daddo Jerry Stahl,6.9,15,"David Lynch Karolina Gruszka Krzysztof Majchrzak Grace Zabriskie Laura Dern Jan Hencz Ian Abercrombie Karen Baird Bellina Logan Peter J. Lucas Amanda Foreman Jeremy Irons Justin Theroux Harry Dean Stanton Cameron Daddo Jerry Stahl Drama, Fantasy, Mystery"
2496,4092,4568,tt0460890,the only living boy in new york,2017,Drama,Marc Webb,Callum Turner Jeff Bridges Kate Beckinsale Pierce Brosnan Cynthia Nixon Kiersey Clemons Tate Donovan Wallace Shawn Anh Duong Debi Mazar Ben Hollandsworth John Bolger Bill Camp Richard Bekins Ryan Speakman,6.3,15,Marc Webb Callum Turner Jeff Bridges Kate Beckinsale Pierce Brosnan Cynthia Nixon Kiersey Clemons Tate Donovan Wallace Shawn Anh Duong Debi Mazar Ben Hollandsworth John Bolger Bill Camp Richard Bekins Ryan Speakman Drama
2498,4096,4573,tt0460925,the sasquatch gang,2006,Comedy,Tim Skousen,Justin Long Jeremy Sumpter Addie Land Joey Kern Rob Pinkston Michael Mitchell Hubbel Palmer Jon Gries Ray Santiago Jeff D'Agostino Carl Weathers Stephen Tobolowsky Veanne Cox Jon Heder Rebecca Lowe,6.3,15,Tim Skousen Justin Long Jeremy Sumpter Addie Land Joey Kern Rob Pinkston Michael Mitchell Hubbel Palmer Jon Gries Ray Santiago Jeff D'Agostino Carl Weathers Stephen Tobolowsky Veanne Cox Jon Heder Rebecca Lowe Comedy
2499,4100,4578,tt0460989,the wind that shakes the barley,2006,"Drama, War",Ken Loach,Cillian Murphy Pádraic Delaney Liam Cunningham Orla Fitzgerald Mary O'Riordan Mary Murphy Laurence Barry Damien Kearney Frank Bourke Myles Horgan Martin Lucey Aidan O'Hare Shane Casey John Crean Máirtín de Cógáin,7.5,15,"Ken Loach Cillian Murphy Pádraic Delaney Liam Cunningham Orla Fitzgerald Mary O'Riordan Mary Murphy Laurence Barry Damien Kearney Frank Bourke Myles Horgan Martin Lucey Aidan O'Hare Shane Casey John Crean Máirtín de Cógáin Drama, War"
2501,4103,4581,tt0461770,enchanted,2007,"Animation, Comedy, Family",Kevin Lima,Amy Adams Patrick Dempsey James Marsden Timothy Spall Idina Menzel Rachel Covey Susan Sarandon Julie Andrews Jeff Bennett Kevin Lima Emma Rose Lima Teala Dunn Fred Tatasciore Courtney Williams William Huntley,7.0,15,"Kevin Lima Amy Adams Patrick Dempsey James Marsden Timothy Spall Idina Menzel Rachel Covey Susan Sarandon Julie Andrews Jeff Bennett Kevin Lima Emma Rose Lima Teala Dunn Fred Tatasciore Courtney Williams William Huntley Animation, Comedy, Family"
